simulation_id,workflow,domain,y_min,y_max,chains,draws_per_chain,posterior_draws_total,n_obs,pvs_theta,pvs_pred,pvs_joint,trace_member,pvs_theta_nominal,pvs_pred_nominal,pvs_joint_nominal,delta_pvs_theta_vs_nominal,delta_pvs_pred_vs_nominal,delta_pvs_joint_vs_nominal
0,area,broad,-0.05,1.05,4,3000,12000,288,0.9479166666666666,0.9792612847222222,0.9282728587962963,trace_pvs_sdescriptor_mismatch_nominal_sim0.nc,0.78025,0.8989134837962963,0.7018382523148148,0.16766666666666663,0.08034780092592586,0.2264346064814815
0,area,narrow,0.02,0.98,4,3000,12000,288,0.5528333333333333,0.8261987847222222,0.45784693287037037,trace_pvs_sdescriptor_mismatch_nominal_sim0.nc,0.78025,0.8989134837962963,0.7018382523148148,-0.2274166666666667,-0.07271469907407413,-0.2439913194444444
0,area,nominal,0.0,1.0,4,3000,12000,288,0.78025,0.8989134837962963,0.7018382523148148,trace_pvs_sdescriptor_mismatch_nominal_sim0.nc,0.78025,0.8989134837962963,0.7018382523148148,0.0,0.0,0.0
1,area,broad,-0.05,1.05,4,3000,12000,288,0.94625,0.9665989583333333,0.9146550925925926,trace_pvs_sdescriptor_mismatch_nominal_sim1.nc,0.7225833333333334,0.8555584490740741,0.6188127893518518,0.22366666666666668,0.11104050925925923,0.2958423032407408
1,area,narrow,0.02,0.98,4,3000,12000,288,0.47075,0.7808729745370371,0.36847714120370373,trace_pvs_sdescriptor_mismatch_nominal_sim1.nc,0.7225833333333334,0.8555584490740741,0.6188127893518518,-0.25183333333333335,-0.074685474537037,-0.25033564814814807
1,area,nominal,0.0,1.0,4,3000,12000,288,0.7225833333333334,0.8555584490740741,0.6188127893518518,trace_pvs_sdescriptor_mismatch_nominal_sim1.nc,0.7225833333333334,0.8555584490740741,0.6188127893518518,0.0,0.0,0.0
2,area,broad,-0.05,1.05,4,3000,12000,288,0.9630833333333333,0.9840228587962963,0.9477120949074074,trace_pvs_sdescriptor_mismatch_nominal_sim2.nc,0.82525,0.9099606481481481,0.7512815393518518,0.13783333333333325,0.07406221064814811,0.19643055555555555
2,area,narrow,0.02,0.98,4,3000,12000,288,0.63375,0.8391142939814815,0.5327540509259259,trace_pvs_sdescriptor_mismatch_nominal_sim2.nc,0.82525,0.9099606481481481,0.7512815393518518,-0.1915,-0.07084635416666663,-0.21852748842592595
2,area,nominal,0.0,1.0,4,3000,12000,288,0.82525,0.9099606481481481,0.7512815393518518,trace_pvs_sdescriptor_mismatch_nominal_sim2.nc,0.82525,0.9099606481481481,0.7512815393518518,0.0,0.0,0.0
3,area,broad,-0.05,1.05,4,3000,12000,288,0.97525,0.975996238425926,0.9518512731481481,trace_pvs_sdescriptor_mismatch_nominal_sim3.nc,0.8316666666666667,0.8823735532407407,0.7341429398148148,0.14358333333333329,0.09362268518518524,0.21770833333333328
3,area,narrow,0.02,0.98,4,3000,12000,288,0.5955833333333334,0.8150413773148149,0.4861493055555556,trace_pvs_sdescriptor_mismatch_nominal_sim3.nc,0.8316666666666667,0.8823735532407407,0.7341429398148148,-0.2360833333333333,-0.06733217592592589,-0.24799363425925924
3,area,nominal,0.0,1.0,4,3000,12000,288,0.8316666666666667,0.8823735532407407,0.7341429398148148,trace_pvs_sdescriptor_mismatch_nominal_sim3.nc,0.8316666666666667,0.8823735532407407,0.7341429398148148,0.0,0.0,0.0
4,area,broad,-0.05,1.05,4,3000,12000,288,0.9695,0.9812951388888889,0.9513634259259259,trace_pvs_sdescriptor_mismatch_nominal_sim4.nc,0.8436666666666667,0.9171782407407407,0.7740755208333333,0.12583333333333335,0.06411689814814814,0.17728790509259262
4,area,narrow,0.02,0.98,4,3000,12000,288,0.6748333333333333,0.8561594328703703,0.5785865162037037,trace_pvs_sdescriptor_mismatch_nominal_sim4.nc,0.8436666666666667,0.9171782407407407,0.7740755208333333,-0.1688333333333334,-0.061018807870370395,-0.1954890046296296
4,area,nominal,0.0,1.0,4,3000,12000,288,0.8436666666666667,0.9171782407407407,0.7740755208333333,trace_pvs_sdescriptor_mismatch_nominal_sim4.nc,0.8436666666666667,0.9171782407407407,0.7740755208333333,0.0,0.0,0.0
5,area,broad,-0.05,1.05,4,3000,12000,288,0.9408333333333333,0.9811869212962963,0.9231461226851851,trace_pvs_sdescriptor_mismatch_nominal_sim5.nc,0.74875,0.9176166087962963,0.6874479166666667,0.19208333333333327,0.0635703125,0.23569820601851843
5,area,narrow,0.02,0.98,4,3000,12000,288,0.5434166666666667,0.8600491898148148,0.46821412037037036,trace_pvs_sdescriptor_mismatch_nominal_sim5.nc,0.74875,0.9176166087962963,0.6874479166666667,-0.20533333333333337,-0.05756741898148143,-0.21923379629629636
5,area,nominal,0.0,1.0,4,3000,12000,288,0.74875,0.9176166087962963,0.6874479166666667,trace_pvs_sdescriptor_mismatch_nominal_sim5.nc,0.74875,0.9176166087962963,0.6874479166666667,0.0,0.0,0.0
6,area,broad,-0.05,1.05,4,3000,12000,288,0.969,0.9837650462962962,0.9532826967592593,trace_pvs_sdescriptor_mismatch_nominal_sim6.nc,0.8509166666666667,0.9305043402777777,0.7920202546296297,0.11808333333333332,0.05326070601851851,0.1612624421296296
6,area,narrow,0.02,0.98,4,3000,12000,288,0.6855,0.8772679398148148,0.60215625,trace_pvs_sdescriptor_mismatch_nominal_sim6.nc,0.8509166666666667,0.9305043402777777,0.7920202546296297,-0.16541666666666666,-0.05323640046296296,-0.1898640046296297
6,area,nominal,0.0,1.0,4,3000,12000,288,0.8509166666666667,0.9305043402777777,0.7920202546296297,trace_pvs_sdescriptor_mismatch_nominal_sim6.nc,0.8509166666666667,0.9305043402777777,0.7920202546296297,0.0,0.0,0.0
7,area,broad,-0.05,1.05,4,3000,12000,288,0.9539166666666666,0.9712725694444444,0.9265578703703704,trace_pvs_sdescriptor_mismatch_nominal_sim7.nc,0.70375,0.8635784143518519,0.6083946759259259,0.25016666666666665,0.1076941550925925,0.3181631944444445
7,area,narrow,0.02,0.98,4,3000,12000,288,0.37366666666666665,0.7858368055555556,0.29460734953703704,trace_pvs_sdescriptor_mismatch_nominal_sim7.nc,0.70375,0.8635784143518519,0.6083946759259259,-0.33008333333333334,-0.07774160879629632,-0.31378732638888884
7,area,nominal,0.0,1.0,4,3000,12000,288,0.70375,0.8635784143518519,0.6083946759259259,trace_pvs_sdescriptor_mismatch_nominal_sim7.nc,0.70375,0.8635784143518519,0.6083946759259259,0.0,0.0,0.0
8,area,broad,-0.05,1.05,4,3000,12000,288,0.9443333333333334,0.983574363425926,0.9288877314814815,trace_pvs_sdescriptor_mismatch_nominal_sim8.nc,0.7406666666666667,0.9162766203703704,0.6792201967592593,0.20366666666666666,0.06729774305555558,0.24966753472222225
8,area,narrow,0.02,0.98,4,3000,12000,288,0.5120833333333333,0.8573038194444444,0.4401336805555556,trace_pvs_sdescriptor_mismatch_nominal_sim8.nc,0.7406666666666667,0.9162766203703704,0.6792201967592593,-0.22858333333333336,-0.05897280092592594,-0.2390865162037037
8,area,nominal,0.0,1.0,4,3000,12000,288,0.7406666666666667,0.9162766203703704,0.6792201967592593,trace_pvs_sdescriptor_mismatch_nominal_sim8.nc,0.7406666666666667,0.9162766203703704,0.6792201967592593,0.0,0.0,0.0
9,area,broad,-0.05,1.05,4,3000,12000,288,0.9608333333333333,0.9652546296296296,0.927535300925926,trace_pvs_sdescriptor_mismatch_nominal_sim9.nc,0.7628333333333334,0.860011863425926,0.6565300925925925,0.19799999999999995,0.10524276620370365,0.2710052083333334
9,area,narrow,0.02,0.98,4,3000,12000,288,0.52125,0.7871168981481481,0.41103993055555554,trace_pvs_sdescriptor_mismatch_nominal_sim9.nc,0.7628333333333334,0.860011863425926,0.6565300925925925,-0.24158333333333337,-0.07289496527777783,-0.245490162037037
9,area,nominal,0.0,1.0,4,3000,12000,288,0.7628333333333334,0.860011863425926,0.6565300925925925,trace_pvs_sdescriptor_mismatch_nominal_sim9.nc,0.7628333333333334,0.860011863425926,0.6565300925925925,0.0,0.0,0.0
10,area,broad,-0.05,1.05,4,3000,12000,288,0.9010833333333333,0.931765625,0.8396154513888889,trace_pvs_sdescriptor_mismatch_nominal_sim10.nc,0.4766666666666667,0.7442543402777778,0.3551417824074074,0.42441666666666666,0.18751128472222223,0.48447366898148153
10,area,narrow,0.02,0.98,4,3000,12000,288,0.22575,0.6681657986111111,0.1511495949074074,trace_pvs_sdescriptor_mismatch_nominal_sim10.nc,0.4766666666666667,0.7442543402777778,0.3551417824074074,-0.2509166666666667,-0.07608854166666668,-0.2039921875
10,area,nominal,0.0,1.0,4,3000,12000,288,0.4766666666666667,0.7442543402777778,0.3551417824074074,trace_pvs_sdescriptor_mismatch_nominal_sim10.nc,0.4766666666666667,0.7442543402777778,0.3551417824074074,0.0,0.0,0.0
11,area,broad,-0.05,1.05,4,3000,12000,288,0.9895,0.9884716435185186,0.9781024305555556,trace_pvs_sdescriptor_mismatch_nominal_sim11.nc,0.94025,0.9556365740740741,0.8986869212962963,0.049250000000000016,0.032835069444444476,0.07941550925925922
11,area,narrow,0.02,0.98,4,3000,12000,288,0.8611666666666666,0.9208712384259259,0.7934343171296296,trace_pvs_sdescriptor_mismatch_nominal_sim11.nc,0.94025,0.9556365740740741,0.8986869212962963,-0.0790833333333334,-0.03476533564814821,-0.10525260416666671
11,area,nominal,0.0,1.0,4,3000,12000,288,0.94025,0.9556365740740741,0.8986869212962963,trace_pvs_sdescriptor_mismatch_nominal_sim11.nc,0.94025,0.9556365740740741,0.8986869212962963,0.0,0.0,0.0
12,area,broad,-0.05,1.05,4,3000,12000,288,0.9335833333333333,0.9385798611111111,0.876359375,trace_pvs_sdescriptor_mismatch_nominal_sim12.nc,0.5385,0.7527546296296296,0.40584403935185187,0.39508333333333334,0.18582523148148156,0.4705153356481482
12,area,narrow,0.02,0.98,4,3000,12000,288,0.26466666666666666,0.6604322916666666,0.17541550925925925,trace_pvs_sdescriptor_mismatch_nominal_sim12.nc,0.5385,0.7527546296296296,0.40584403935185187,-0.2738333333333333,-0.09232233796296296,-0.23042853009259262
12,area,nominal,0.0,1.0,4,3000,12000,288,0.5385,0.7527546296296296,0.40584403935185187,trace_pvs_sdescriptor_mismatch_nominal_sim12.nc,0.5385,0.7527546296296296,0.40584403935185187,0.0,0.0,0.0
13,area,broad,-0.05,1.05,4,3000,12000,288,0.9915,0.9910399305555555,0.9826085069444445,trace_pvs_sdescriptor_mismatch_nominal_sim13.nc,0.9470833333333334,0.9282650462962962,0.8792641782407408,0.04441666666666666,0.06277488425925926,0.10334432870370369
13,area,narrow,0.02,0.98,4,3000,12000,288,0.8486666666666667,0.8560335648148149,0.7271177662037037,trace_pvs_sdescriptor_mismatch_nominal_sim13.nc,0.9470833333333334,0.9282650462962962,0.8792641782407408,-0.09841666666666671,-0.0722314814814814,-0.15214641203703705
13,area,nominal,0.0,1.0,4,3000,12000,288,0.9470833333333334,0.9282650462962962,0.8792641782407408,trace_pvs_sdescriptor_mismatch_nominal_sim13.nc,0.9470833333333334,0.9282650462962962,0.8792641782407408,0.0,0.0,0.0
14,area,broad,-0.05,1.05,4,3000,12000,288,0.9876666666666667,0.9708579282407407,0.9589059606481481,trace_pvs_sdescriptor_mismatch_nominal_sim14.nc,0.8845833333333334,0.8720717592592593,0.7718156828703704,0.1030833333333333,0.0987861689814814,0.18709027777777776
14,area,narrow,0.02,0.98,4,3000,12000,288,0.5459166666666667,0.7820026041666667,0.42897251157407407,trace_pvs_sdescriptor_mismatch_nominal_sim14.nc,0.8845833333333334,0.8720717592592593,0.7718156828703704,-0.33866666666666667,-0.09006915509259261,-0.3428431712962963
14,area,nominal,0.0,1.0,4,3000,12000,288,0.8845833333333334,0.8720717592592593,0.7718156828703704,trace_pvs_sdescriptor_mismatch_nominal_sim14.nc,0.8845833333333334,0.8720717592592593,0.7718156828703704,0.0,0.0,0.0
15,area,broad,-0.05,1.05,4,3000,12000,288,0.9816666666666667,0.9763993055555555,0.9585109953703703,trace_pvs_sdescriptor_mismatch_nominal_sim15.nc,0.8636666666666667,0.8811571180555555,0.7614120370370371,0.118,0.09524218750000002,0.19709895833333324
15,area,narrow,0.02,0.98,4,3000,12000,288,0.6314166666666666,0.8082300347222222,0.5114192708333334,trace_pvs_sdescriptor_mismatch_nominal_sim15.nc,0.8636666666666667,0.8811571180555555,0.7614120370370371,-0.23225000000000007,-0.07292708333333331,-0.2499927662037037
15,area,nominal,0.0,1.0,4,3000,12000,288,0.8636666666666667,0.8811571180555555,0.7614120370370371,trace_pvs_sdescriptor_mismatch_nominal_sim15.nc,0.8636666666666667,0.8811571180555555,0.7614120370370371,0.0,0.0,0.0
16,area,broad,-0.05,1.05,4,3000,12000,288,0.9494166666666667,0.9579036458333333,0.9095245949074074,trace_pvs_sdescriptor_mismatch_nominal_sim16.nc,0.6568333333333334,0.8227511574074075,0.5409800347222222,0.2925833333333333,0.13515248842592587,0.3685445601851852
16,area,narrow,0.02,0.98,4,3000,12000,288,0.361,0.7345674189814815,0.2659542824074074,trace_pvs_sdescriptor_mismatch_nominal_sim16.nc,0.6568333333333334,0.8227511574074075,0.5409800347222222,-0.2958333333333334,-0.08818373842592597,-0.2750257523148148
16,area,nominal,0.0,1.0,4,3000,12000,288,0.6568333333333334,0.8227511574074075,0.5409800347222222,trace_pvs_sdescriptor_mismatch_nominal_sim16.nc,0.6568333333333334,0.8227511574074075,0.5409800347222222,0.0,0.0,0.0
17,area,broad,-0.05,1.05,4,3000,12000,288,0.9496666666666667,0.9826741898148148,0.9332256944444445,trace_pvs_sdescriptor_mismatch_nominal_sim17.nc,0.7799166666666667,0.8992161458333333,0.7016012731481481,0.16974999999999996,0.08345804398148149,0.23162442129629635
17,area,narrow,0.02,0.98,4,3000,12000,288,0.5789166666666666,0.8299809027777778,0.4811241319444444,trace_pvs_sdescriptor_mismatch_nominal_sim17.nc,0.7799166666666667,0.8992161458333333,0.7016012731481481,-0.20100000000000007,-0.0692352430555555,-0.2204771412037037
17,area,nominal,0.0,1.0,4,3000,12000,288,0.7799166666666667,0.8992161458333333,0.7016012731481481,trace_pvs_sdescriptor_mismatch_nominal_sim17.nc,0.7799166666666667,0.8992161458333333,0.7016012731481481,0.0,0.0,0.0
18,area,broad,-0.05,1.05,4,3000,12000,288,0.8854166666666666,0.9835104166666667,0.8708695023148149,trace_pvs_sdescriptor_mismatch_nominal_sim18.nc,0.5476666666666666,0.9216455439814815,0.5053833912037037,0.33775,0.06186487268518526,0.3654861111111112
18,area,narrow,0.02,0.98,4,3000,12000,288,0.28508333333333336,0.8714635416666666,0.24918952546296297,trace_pvs_sdescriptor_mismatch_nominal_sim18.nc,0.5476666666666666,0.9216455439814815,0.5053833912037037,-0.2625833333333333,-0.050182002314814844,-0.2561938657407407
18,area,nominal,0.0,1.0,4,3000,12000,288,0.5476666666666666,0.9216455439814815,0.5053833912037037,trace_pvs_sdescriptor_mismatch_nominal_sim18.nc,0.5476666666666666,0.9216455439814815,0.5053833912037037,0.0,0.0,0.0
19,area,broad,-0.05,1.05,4,3000,12000,288,0.9621666666666666,0.9735211226851852,0.9367120949074074,trace_pvs_sdescriptor_mismatch_nominal_sim19.nc,0.8135833333333333,0.8922282986111111,0.7262476851851852,0.1485833333333333,0.08129282407407412,0.21046440972222213
19,area,narrow,0.02,0.98,4,3000,12000,288,0.6220833333333333,0.8285868055555555,0.5162476851851852,trace_pvs_sdescriptor_mismatch_nominal_sim19.nc,0.8135833333333333,0.8922282986111111,0.7262476851851852,-0.1915,-0.06364149305555555,-0.21000000000000008
19,area,nominal,0.0,1.0,4,3000,12000,288,0.8135833333333333,0.8922282986111111,0.7262476851851852,trace_pvs_sdescriptor_mismatch_nominal_sim19.nc,0.8135833333333333,0.8922282986111111,0.7262476851851852,0.0,0.0,0.0
20,area,broad,-0.05,1.05,4,3000,12000,288,0.9734166666666667,0.9784982638888889,0.9524861111111111,trace_pvs_sdescriptor_mismatch_nominal_sim20.nc,0.8463333333333334,0.8943237847222222,0.7572002314814815,0.12708333333333333,0.08417447916666676,0.19528587962962962
20,area,narrow,0.02,0.98,4,3000,12000,288,0.6431666666666667,0.8213602430555556,0.5294322916666667,trace_pvs_sdescriptor_mismatch_nominal_sim20.nc,0.8463333333333334,0.8943237847222222,0.7572002314814815,-0.20316666666666672,-0.07296354166666663,-0.2277679398148148
20,area,nominal,0.0,1.0,4,3000,12000,288,0.8463333333333334,0.8943237847222222,0.7572002314814815,trace_pvs_sdescriptor_mismatch_nominal_sim20.nc,0.8463333333333334,0.8943237847222222,0.7572002314814815,0.0,0.0,0.0
21,area,broad,-0.05,1.05,4,3000,12000,288,0.9713333333333334,0.9911941550925926,0.9627942708333334,trace_pvs_sdescriptor_mismatch_nominal_sim21.nc,0.85825,0.9468778935185185,0.8128052662037037,0.11308333333333342,0.04431626157407409,0.1499890046296296
21,area,narrow,0.02,0.98,4,3000,12000,288,0.7015833333333333,0.8977025462962963,0.6303075810185185,trace_pvs_sdescriptor_mismatch_nominal_sim21.nc,0.85825,0.9468778935185185,0.8128052662037037,-0.15666666666666662,-0.049175347222222165,-0.18249768518518528
21,area,nominal,0.0,1.0,4,3000,12000,288,0.85825,0.9468778935185185,0.8128052662037037,trace_pvs_sdescriptor_mismatch_nominal_sim21.nc,0.85825,0.9468778935185185,0.8128052662037037,0.0,0.0,0.0
22,area,broad,-0.05,1.05,4,3000,12000,288,0.978,0.98475,0.9631174768518519,trace_pvs_sdescriptor_mismatch_nominal_sim22.nc,0.8028333333333333,0.933863425925926,0.7504586226851852,0.1751666666666667,0.05088657407407404,0.21265885416666674
22,area,narrow,0.02,0.98,4,3000,12000,288,0.49425,0.8842728587962962,0.4384537037037037,trace_pvs_sdescriptor_mismatch_nominal_sim22.nc,0.8028333333333333,0.933863425925926,0.7504586226851852,-0.30858333333333327,-0.049590567129629726,-0.31200491898148147
22,area,nominal,0.0,1.0,4,3000,12000,288,0.8028333333333333,0.933863425925926,0.7504586226851852,trace_pvs_sdescriptor_mismatch_nominal_sim22.nc,0.8028333333333333,0.933863425925926,0.7504586226851852,0.0,0.0,0.0
23,area,broad,-0.05,1.05,4,3000,12000,288,0.9770833333333333,0.9841802662037037,0.9616383101851852,trace_pvs_sdescriptor_mismatch_nominal_sim23.nc,0.8713333333333333,0.9146944444444445,0.7971889467592592,0.10575000000000001,0.06948582175925921,0.16444936342592598
23,area,narrow,0.02,0.98,4,3000,12000,288,0.7111666666666666,0.8447913773148148,0.6015674189814815,trace_pvs_sdescriptor_mismatch_nominal_sim23.nc,0.8713333333333333,0.9146944444444445,0.7971889467592592,-0.16016666666666668,-0.06990306712962968,-0.19562152777777775
23,area,nominal,0.0,1.0,4,3000,12000,288,0.8713333333333333,0.9146944444444445,0.7971889467592592,trace_pvs_sdescriptor_mismatch_nominal_sim23.nc,0.8713333333333333,0.9146944444444445,0.7971889467592592,0.0,0.0,0.0
24,area,broad,-0.05,1.05,4,3000,12000,288,0.9599166666666666,0.9793373842592593,0.9400720486111112,trace_pvs_sdescriptor_mismatch_nominal_sim24.nc,0.7849166666666667,0.8786148726851852,0.6900289351851852,0.17499999999999993,0.10072251157407408,0.250043113425926
24,area,narrow,0.02,0.98,4,3000,12000,288,0.566,0.7998802083333333,0.453306712962963,trace_pvs_sdescriptor_mismatch_nominal_sim24.nc,0.7849166666666667,0.8786148726851852,0.6900289351851852,-0.21891666666666676,-0.07873466435185195,-0.23672222222222217
24,area,nominal,0.0,1.0,4,3000,12000,288,0.7849166666666667,0.8786148726851852,0.6900289351851852,trace_pvs_sdescriptor_mismatch_nominal_sim24.nc,0.7849166666666667,0.8786148726851852,0.6900289351851852,0.0,0.0,0.0
25,area,broad,-0.05,1.05,4,3000,12000,288,0.9524166666666667,0.9754490740740741,0.9290697337962963,trace_pvs_sdescriptor_mismatch_nominal_sim25.nc,0.7614166666666666,0.8756452546296296,0.6670787037037037,0.19100000000000006,0.0998038194444445,0.2619910300925926
25,area,narrow,0.02,0.98,4,3000,12000,288,0.5390833333333334,0.7963214699074074,0.43007667824074075,trace_pvs_sdescriptor_mismatch_nominal_sim25.nc,0.7614166666666666,0.8756452546296296,0.6670787037037037,-0.22233333333333327,-0.07932378472222223,-0.23700202546296295
25,area,nominal,0.0,1.0,4,3000,12000,288,0.7614166666666666,0.8756452546296296,0.6670787037037037,trace_pvs_sdescriptor_mismatch_nominal_sim25.nc,0.7614166666666666,0.8756452546296296,0.6670787037037037,0.0,0.0,0.0
26,area,broad,-0.05,1.05,4,3000,12000,288,0.9256666666666666,0.9623298611111111,0.8908174189814815,trace_pvs_sdescriptor_mismatch_nominal_sim26.nc,0.6868333333333333,0.8638877314814815,0.5935720486111111,0.23883333333333334,0.09844212962962962,0.29724537037037035
26,area,narrow,0.02,0.98,4,3000,12000,288,0.47475,0.7995219907407407,0.3802320601851852,trace_pvs_sdescriptor_mismatch_nominal_sim26.nc,0.6868333333333333,0.8638877314814815,0.5935720486111111,-0.2120833333333333,-0.06436574074074075,-0.21333998842592594
26,area,nominal,0.0,1.0,4,3000,12000,288,0.6868333333333333,0.8638877314814815,0.5935720486111111,trace_pvs_sdescriptor_mismatch_nominal_sim26.nc,0.6868333333333333,0.8638877314814815,0.5935720486111111,0.0,0.0,0.0
27,area,broad,-0.05,1.05,4,3000,12000,288,0.93725,0.9833347800925926,0.9216686921296297,trace_pvs_sdescriptor_mismatch_nominal_sim27.nc,0.7599166666666667,0.9394560185185186,0.7141999421296297,0.17733333333333334,0.043878761574074,0.20746874999999998
27,area,narrow,0.02,0.98,4,3000,12000,288,0.5803333333333334,0.8982311921296297,0.5219519675925925,trace_pvs_sdescriptor_mismatch_nominal_sim27.nc,0.7599166666666667,0.9394560185185186,0.7141999421296297,-0.17958333333333332,-0.04122482638888891,-0.19224797453703713
27,area,nominal,0.0,1.0,4,3000,12000,288,0.7599166666666667,0.9394560185185186,0.7141999421296297,trace_pvs_sdescriptor_mismatch_nominal_sim27.nc,0.7599166666666667,0.9394560185185186,0.7141999421296297,0.0,0.0,0.0
28,area,broad,-0.05,1.05,4,3000,12000,288,0.9275,0.969359375,0.8991195023148149,trace_pvs_sdescriptor_mismatch_nominal_sim28.nc,0.6783333333333333,0.8851192129629629,0.6008804976851851,0.24916666666666665,0.0842401620370371,0.2982390046296297
