simulation_id,workflow,domain,y_min,y_max,chains,draws_per_chain,posterior_draws_total,n_obs,pvs_theta,pvs_pred,pvs_joint,trace_member
0,area,broad,-0.05,1.05,4,3000,12000,288,0.9479166666666666,0.9792612847222222,0.9282728587962963,trace_pvs_sdescriptor_mismatch_nominal_sim0.nc
0,area,narrow,0.02,0.98,4,3000,12000,288,0.5528333333333333,0.8261987847222222,0.45784693287037037,trace_pvs_sdescriptor_mismatch_nominal_sim0.nc
0,area,nominal,0.0,1.0,4,3000,12000,288,0.78025,0.8989134837962963,0.7018382523148148,trace_pvs_sdescriptor_mismatch_nominal_sim0.nc
1,area,broad,-0.05,1.05,4,3000,12000,288,0.94625,0.9665989583333333,0.9146550925925926,trace_pvs_sdescriptor_mismatch_nominal_sim1.nc
1,area,narrow,0.02,0.98,4,3000,12000,288,0.47075,0.7808729745370371,0.36847714120370373,trace_pvs_sdescriptor_mismatch_nominal_sim1.nc
1,area,nominal,0.0,1.0,4,3000,12000,288,0.7225833333333334,0.8555584490740741,0.6188127893518518,trace_pvs_sdescriptor_mismatch_nominal_sim1.nc
2,area,broad,-0.05,1.05,4,3000,12000,288,0.9630833333333333,0.9840228587962963,0.9477120949074074,trace_pvs_sdescriptor_mismatch_nominal_sim2.nc
2,area,narrow,0.02,0.98,4,3000,12000,288,0.63375,0.8391142939814815,0.5327540509259259,trace_pvs_sdescriptor_mismatch_nominal_sim2.nc
2,area,nominal,0.0,1.0,4,3000,12000,288,0.82525,0.9099606481481481,0.7512815393518518,trace_pvs_sdescriptor_mismatch_nominal_sim2.nc
3,area,broad,-0.05,1.05,4,3000,12000,288,0.97525,0.975996238425926,0.9518512731481481,trace_pvs_sdescriptor_mismatch_nominal_sim3.nc
3,area,narrow,0.02,0.98,4,3000,12000,288,0.5955833333333334,0.8150413773148149,0.4861493055555556,trace_pvs_sdescriptor_mismatch_nominal_sim3.nc
3,area,nominal,0.0,1.0,4,3000,12000,288,0.8316666666666667,0.8823735532407407,0.7341429398148148,trace_pvs_sdescriptor_mismatch_nominal_sim3.nc
4,area,broad,-0.05,1.05,4,3000,12000,288,0.9695,0.9812951388888889,0.9513634259259259,trace_pvs_sdescriptor_mismatch_nominal_sim4.nc
4,area,narrow,0.02,0.98,4,3000,12000,288,0.6748333333333333,0.8561594328703703,0.5785865162037037,trace_pvs_sdescriptor_mismatch_nominal_sim4.nc
4,area,nominal,0.0,1.0,4,3000,12000,288,0.8436666666666667,0.9171782407407407,0.7740755208333333,trace_pvs_sdescriptor_mismatch_nominal_sim4.nc
