simulation_id,divergences_broad,divergences_mildly_misspecified,divergences_narrow,divergences_nominal,total_divergences,max_divergences_across_priors,priors_with_divergences,retained_in_conservative_subset
0,0,0,0,0,0,0,0,True
8,0,0,0,0,0,0,0,True
10,0,0,0,0,0,0,0,True
12,0,0,0,0,0,0,0,True
17,0,0,0,0,0,0,0,True
18,0,0,0,0,0,0,0,True
34,0,0,0,0,0,0,0,True
52,0,0,0,0,0,0,0,True
58,0,0,0,0,0,0,0,True
67,0,0,0,0,0,0,0,True
69,0,0,0,0,0,0,0,True
70,0,0,0,0,0,0,0,True
77,0,0,0,0,0,0,0,True
89,0,0,0,0,0,0,0,True
102,0,0,0,0,0,0,0,True
114,0,0,0,0,0,0,0,True
115,0,0,0,0,0,0,0,True
119,0,0,0,0,0,0,0,True
125,0,0,0,0,0,0,0,True
126,0,0,0,0,0,0,0,True
