prior_mode,parameter,n_runs,delta_median,delta_q1,delta_q3,median_absolute_delta,maximum_absolute_delta
broad,K_A,30,0.00029533157279831856,0.00012059859897750602,0.00040434926854837627,0.0003118447824660975,0.0007792159246391428
mildly_misspecified,K_A,30,0.0007589783582497289,0.0005506203593796943,0.0011368248157739846,0.0007589783582497289,0.0015144584881355838
narrow,K_A,30,-0.0017368479723356978,-0.0021056193732875983,-0.0015168501524051303,0.0017368479723356978,0.00284748875855112
broad,h,30,-0.0005791836492199387,-0.001792159578726138,0.0006636945308303721,0.0012752804092459602,0.005345355592841994
mildly_misspecified,h,30,-0.012372650066645896,-0.013646564937404349,-0.009334587100993885,0.012372650066645896,0.015077706536981594
narrow,h,30,0.01204881732519869,0.010020782802620087,0.013741103248181785,0.01204881732519869,0.018741295401119906
broad,nu,30,0.0024350929670562405,-0.014834960932804231,0.023756193797279668,0.022624694051485594,0.27914299179180446
mildly_misspecified,nu,30,0.008957387183376797,-0.010930022742102974,0.05447297729574063,0.032080813617606285,0.3593465268608451
narrow,nu,30,-0.0018854803466987757,-0.03478860110243409,0.023443548589032748,0.028813018188714512,0.3827092916851811
broad,rho_A,30,-0.0001710537723378005,-0.0005111413366366731,0.0008946999487248267,0.000654609875261461,0.003849021146285575
mildly_misspecified,rho_A,30,5.805250292404904e-05,-0.0006138728131899994,0.0012910126007716072,0.0010217153462104035,0.0035380971932270078
narrow,rho_A,30,0.00024153259507800513,-0.00037454945934002355,0.0015346903434751216,0.000883464757859484,0.0034510759814131986
broad,sigma0,30,2.3435138249653514e-05,-1.6436822516398622e-05,4.918690268530118e-05,3.9436257919401446e-05,0.00011012682408469837
mildly_misspecified,sigma0,30,1.7652473508652372e-05,-3.143689536082468e-05,7.593301260655147e-05,5.749649458379816e-05,0.00014938157363280496
narrow,sigma0,30,-3.0078126563151675e-05,-5.3968557027547076e-05,3.5988579814242444e-06,3.526637676920172e-05,0.00019638881083010318
broad,sigma_batch,30,-1.6392900237550793e-05,-0.00020796571607250083,0.00018086726641440174,0.00020232306592300048,0.0008923594923481992
mildly_misspecified,sigma_batch,30,3.4715408252505853e-06,-0.00033545129837189974,0.0002118662208533519,0.00031965407488485087,0.0011363297411393011
narrow,sigma_batch,30,-6.0639599257300385e-05,-0.00024051121883194877,0.00019988768971122665,0.00020791861241719885,0.0009610749767672983
broad,sigma_lab,30,-0.000114579295462049,-0.0005692043540716004,0.00021900712398739957,0.0004087879324934998,0.0013630812453801974
mildly_misspecified,sigma_lab,30,4.58264976107986e-05,-0.0002739977097740024,0.00047424697610345045,0.0004146707442502003,0.0019676559984665026
narrow,sigma_lab,30,-0.00010465532372895027,-0.00034027420265772546,0.00020389612163577465,0.0003109220842205992,0.001613081414584501
broad,y0,30,4.825238694997763e-06,-0.0002498164130475978,0.00033731238499580107,0.0002732226068727535,0.0015735146109258982
mildly_misspecified,y0,30,2.1385115256450718e-05,-0.0003160722154471711,0.00042843636193989985,0.0004251675355280999,0.0012867103897983984
narrow,y0,30,0.00022319700295084927,-0.00016541212229472836,0.00044473765893107307,0.00037397599321865177,0.0009564318624156014
broad,ymax,30,0.00016946758877783852,5.208198773040684e-05,0.00033209734100542176,0.0002104767316399303,0.0007589763832811514
mildly_misspecified,ymax,30,0.00101047408250593,0.0007324837716618793,0.0011600033492871475,0.00101047408250593,0.0018062057972670909
narrow,ymax,30,-0.001560560683771084,-0.0019638753393339814,-0.0012642328103233402,0.001560560683771084,0.002297059697983439
