simulation_id,divergences_broad,divergences_mildly_misspecified,divergences_narrow,divergences_nominal,total_divergences,max_divergences_across_priors,priors_with_divergences,retained_in_conservative_subset
0,0,0,0,0,0,0,0,True
7,0,0,1,0,1,1,1,False
8,0,0,0,0,0,0,0,True
10,0,0,0,0,0,0,0,True
12,0,0,0,0,0,0,0,True
17,0,0,0,0,0,0,0,True
18,0,0,0,0,0,0,0,True
34,0,0,0,0,0,0,0,True
39,0,0,1,0,1,1,1,False
46,16,12,42,5,75,42,4,False
47,5,1,3,4,13,5,4,False
52,0,0,0,0,0,0,0,True
58,0,0,0,0,0,0,0,True
59,3,1,1,5,10,5,4,False
66,0,0,0,1,1,1,1,False
67,0,0,0,0,0,0,0,True
69,0,0,0,0,0,0,0,True
70,0,0,0,0,0,0,0,True
77,0,0,0,0,0,0,0,True
89,0,0,0,0,0,0,0,True
101,0,2,0,0,2,2,1,False
102,0,0,0,0,0,0,0,True
105,1,0,0,0,1,1,1,False
106,6,7,3,15,31,15,4,False
112,10,7,6,8,31,10,4,False
114,0,0,0,0,0,0,0,True
115,0,0,0,0,0,0,0,True
119,0,0,0,0,0,0,0,True
125,0,0,0,0,0,0,0,True
126,0,0,0,0,0,0,0,True
